Load Graph: 2288 
computeSSSP 6736 46
computeSSSP 7419 42
computeSSSP 4629 23
computeSSSP 2309 20
computeSSSP 3664 25
computeSSSP 5239 21
computeSSSP 6873 25
computeSSSP 4065 16
computeSSSP 9529 26
computeSSSP 7552 17
computeSSSP 8805 21
computeSSSP 553 23
computeSSSP 8594 21
computeSSSP 2703 26
computeSSSP 1103 24
computeSSSP 5044 18
computeSSSP 6534 17
computeSSSP 6642 22
computeSSSP 1266 21
computeSSSP 4972 15
computeSSSP 1365 19
computeSSSP 4248 15
computeSSSP 2533 24
computeSSSP 7675 16
computeSSSP 2277 17
computeSSSP 2118 16
computeSSSP 813 25
computeSSSP 1396 14
computeSSSP 2181 17
computeSSSP 6307 22
computeSSSP 8584 14
computeSSSP 5760 19
computeSSSP 1842 19
computeSSSP 4390 17
computeSSSP 3722 16
computeSSSP 963 16
computeSSSP 9363 17
computeSSSP 3962 14
computeSSSP 4502 14
computeSSSP 2874 17
computeSSSP 3567 15
computeSSSP 8524 15
computeSSSP 930 17
computeSSSP 6980 14
computeSSSP 3503 23
computeSSSP 1041 16
computeSSSP 7660 20
computeSSSP 1674 21
computeSSSP 1037 17
computeSSSP 326 23
computeSSSP 3835 18
computeSSSP 6204 17
computeSSSP 4811 16
computeSSSP 2501 15
computeSSSP 5038 20
computeSSSP 4938 19
computeSSSP 3393 18
computeSSSP 9824 14
computeSSSP 1793 14
computeSSSP 8667 17
computeSSSP 3838 15
computeSSSP 526 19
computeSSSP 3535 25
computeSSSP 7742 22
computeSSSP 6879 16
computeSSSP 367 16
computeSSSP 2305 19
computeSSSP 7003 24
computeSSSP 9470 14
computeSSSP 2606 24
computeSSSP 1091 19
computeSSSP 612 23
computeSSSP 7506 22
computeSSSP 5666 16
computeSSSP 2104 15
computeSSSP 5293 23
computeSSSP 900 16
computeSSSP 3616 15
computeSSSP 276 15
computeSSSP 661 19
computeSSSP 1186 15
computeSSSP 193 0
computeSSSP 3655 20
computeSSSP 7776 13
computeSSSP 2380 15
computeSSSP 1356 16
computeSSSP 1114 21
computeSSSP 9875 18
computeSSSP 1323 27
computeSSSP 944 21
computeSSSP 8418 22
computeSSSP 3804 19
computeSSSP 2401 18
computeSSSP 7055 20
computeSSSP 4161 22
computeSSSP 555 15
computeSSSP 1564 18
computeSSSP 9050 24
computeSSSP 1403 24
computeSSSP 4032 23
computeSSSP 8773 22
computeSSSP 9861 18
computeSSSP 4886 20
computeSSSP 1922 21
computeSSSP 5701 14
computeSSSP 4551 14
computeSSSP 6203 14
computeSSSP 3193 20
computeSSSP 2582 24
computeSSSP 2513 17
computeSSSP 6090 15
computeSSSP 6410 24
computeSSSP 3031 19
computeSSSP 3288 17
computeSSSP 4810 16
computeSSSP 109 24
computeSSSP 1050 15
computeSSSP 1329 16
computeSSSP 925 19
computeSSSP 7867 16
computeSSSP 6504 16
computeSSSP 856 25
computeSSSP 6433 20
computeSSSP 297 26
computeSSSP 9588 22
computeSSSP 4492 26
computeSSSP 2547 24
computeSSSP 2604 25
computeSSSP 4588 16
computeSSSP 6698 15
computeSSSP 5295 23
computeSSSP 4568 16
computeSSSP 4091 16
computeSSSP 6533 19
computeSSSP 994 24
computeSSSP 57 13
computeSSSP 6892 15
computeSSSP 9615 22
computeSSSP 6272 20
computeSSSP 7037 17
computeSSSP 6569 19
computeSSSP 7303 15
computeSSSP 7938 24
computeSSSP 6268 23
computeSSSP 5010 14
computeSSSP 2543 16
computeSSSP 8551 26
computeSSSP 9172 20
computeSSSP 6202 20
computeSSSP 552 13
computeSSSP 6235 25
computeSSSP 7030 24
computeSSSP 8778 23
computeSSSP 1500 23
computeSSSP 7493 23
computeSSSP 5479 15
computeSSSP 5289 16
computeSSSP 7656 24
computeSSSP 4874 23
computeSSSP 3556 16
computeSSSP 3539 18
computeSSSP 9828 15
computeSSSP 3887 18
computeSSSP 3445 24
computeSSSP 9781 17
computeSSSP 689 14
computeSSSP 1659 15
computeSSSP 172 13
computeSSSP 2443 16
computeSSSP 8654 22
computeSSSP 6779 18
computeSSSP 6715 17
computeSSSP 1761 25
computeSSSP 7366 18
computeSSSP 6255 24
computeSSSP 6527 19
computeSSSP 7078 18
computeSSSP 7017 24
computeSSSP 4322 14
computeSSSP 9740 17
computeSSSP 8623 16
computeSSSP 6789 22
computeSSSP 1832 24
computeSSSP 1174 17
computeSSSP 7048 19
computeSSSP 3601 22
computeSSSP 7712 14
computeSSSP 8346 25
computeSSSP 3348 14
computeSSSP 2775 21
computeSSSP 4840 15
computeSSSP 4055 24
computeSSSP 4933 15
computeSSSP 5404 25
computeSSSP 5135 24
computeSSSP 1837 23
computeSSSP 8311 17
computeSSSP 4765 14
computeSSSP 7941 14
computeSSSP 4640 19
computeSSSP 4743 17
computeSSSP 9927 22
computeSSSP 1359 16
computeSSSP 1816 16
computeSSSP 8658 17
computeSSSP 866 15
computeSSSP 7719 16
computeSSSP 8536 26
computeSSSP 872 18
computeSSSP 267 20
computeSSSP 785 16
computeSSSP 5560 14
computeSSSP 6943 16
computeSSSP 1629 19
computeSSSP 5624 18
computeSSSP 6514 20
computeSSSP 115 16
computeSSSP 2283 24
computeSSSP 3574 16
computeSSSP 1590 20
computeSSSP 4443 15
computeSSSP 3069 18
computeSSSP 3106 16
computeSSSP 4570 16
computeSSSP 7255 13
computeSSSP 8181 19
computeSSSP 3652 16
computeSSSP 7218 15
computeSSSP 1637 20
computeSSSP 3181 17
computeSSSP 1796 16
computeSSSP 1127 17
computeSSSP 7715 19
computeSSSP 8286 0
computeSSSP 3153 14
computeSSSP 4919 14
computeSSSP 9727 22
computeSSSP 8687 16
computeSSSP 3517 23
computeSSSP 8506 15
computeSSSP 5547 14
computeSSSP 2184 16
computeSSSP 8533 20
computeSSSP 988 20
computeSSSP 5164 19
computeSSSP 8674 17
computeSSSP 4511 17
computeSSSP 7451 24
computeSSSP 9489 24
computeSSSP 8158 15
computeSSSP 4172 15
computeSSSP 3183 14
computeSSSP 7760 18
computeSSSP 9950 15
computeSSSP 3373 15
computeSSSP 9792 14
computeSSSP 9644 15
computeSSSP 7028 19
computeSSSP 3121 24
computeSSSP 9353 23
computeSSSP 7651 20
computeSSSP 7445 16
computeSSSP 6732 15
computeSSSP 9864 14
computeSSSP 9252 15
computeSSSP 9193 23
computeSSSP 8868 25
computeSSSP 2526 14
computeSSSP 5150 22
computeSSSP 7602 24
computeSSSP 9765 24
computeSSSP 2841 19
computeSSSP 7475 18
computeSSSP 4246 16
computeSSSP 4708 14
computeSSSP 363 20
computeSSSP 5371 22
computeSSSP 5546 24
computeSSSP 9873 16
computeSSSP 8951 20
computeSSSP 2437 14
computeSSSP 9917 21
computeSSSP 7829 24
computeSSSP 4056 14
computeSSSP 600 14
computeSSSP 159 17
computeSSSP 3531 21
computeSSSP 6766 23
computeSSSP 3464 24
computeSSSP 156 14
computeSSSP 1259 25
computeSSSP 8582 14
computeSSSP 2836 15
computeSSSP 9753 18
computeSSSP 8049 24
computeSSSP 964 19
computeSSSP 220 21
computeSSSP 8234 14
computeSSSP 6381 25
computeSSSP 2992 23
computeSSSP 9024 14
computeSSSP 3933 16
computeSSSP 5667 24
computeSSSP 9050 21
computeSSSP 7380 15
computeSSSP 6599 18
computeSSSP 6594 22
computeSSSP 4379 19
computeSSSP 5664 24
computeSSSP 7304 14
computeSSSP 6130 22
computeSSSP 698 14
computeSSSP 6051 14
computeSSSP 7805 16
computeSSSP 3430 19
computeSSSP 8039 14
