countInDegree Node Time 
countInDegree 3042 239
countInDegree 22323 47
countInDegree 21264 16
countInDegree 21540 17
countInDegree 7098 7
countInDegree 22194 1
countInDegree 29106 1
countInDegree 19212 8
countInDegree 5298 4
countInDegree 22074 0
countInDegree 11424 7
countInDegree 3372 6
countInDegree 26133 1
countInDegree 14130 33
countInDegree 18738 2
countInDegree 330 4
countInDegree 27348 2
countInDegree 2439 1
countInDegree 12459 1
countInDegree 18039 28
countInDegree 16794 3
countInDegree 9933 4
countInDegree 21252 1
countInDegree 14607 21
countInDegree 3717 19
countInDegree 12438 1
countInDegree 14148 1
countInDegree 13041 5
countInDegree 19605 12
countInDegree 7524 4
countInDegree 1326 2
countInDegree 27210 1
countInDegree 3615 1
countInDegree 24333 2
countInDegree 14046 2
countInDegree 16611 40
countInDegree 5319 1
countInDegree 29910 2
countInDegree 27036 1
countInDegree 29685 3
countInDegree 1848 2
countInDegree 11034 3
countInDegree 20517 5
countInDegree 21435 5
countInDegree 8763 50
countInDegree 20118 11
countInDegree 5463 6
countInDegree 9378 6
countInDegree 22860 1
countInDegree 26601 2
countInDegree 19614 1
countInDegree 21384 0
countInDegree 3675 1
countInDegree 8025 3
countInDegree 12426 2
countInDegree 28941 14
countInDegree 5130 1
countInDegree 29172 1
countInDegree 29358 1
countInDegree 16500 1
countInDegree 11841 7
countInDegree 2766 2
countInDegree 4461 2
countInDegree 13284 1
countInDegree 17274 2
countInDegree 15414 2
countInDegree 9510 4
countInDegree 21693 0
countInDegree 3834 3
countInDegree 20313 1
countInDegree 11121 1
countInDegree 25548 1
countInDegree 13863 2
countInDegree 12120 5
countInDegree 15735 4
countInDegree 17337 4
countInDegree 28581 1
countInDegree 18 7
countInDegree 16320 2
countInDegree 26658 1
countInDegree 27477 1
countInDegree 16440 0
countInDegree 28974 0
countInDegree 15 1
countInDegree 14283 1
countInDegree 14223 0
countInDegree 18948 0
countInDegree 16695 1
countInDegree 12030 2
countInDegree 18705 4
countInDegree 16344 1
countInDegree 4308 21
countInDegree 28593 1
countInDegree 28878 1
countInDegree 12627 1
countInDegree 18897 3
countInDegree 10287 3
countInDegree 12717 2
countInDegree 4401 0
countInDegree 3576 2
countInDegree 20754 2
countInDegree 6225 2
countInDegree 11139 1
countInDegree 10989 1
countInDegree 2139 0
countInDegree 144 0
countInDegree 12591 1
countInDegree 15951 1
countInDegree 8796 1
countInDegree 3096 2
countInDegree 11187 1
countInDegree 21939 2
countInDegree 657 22
countInDegree 6531 1
countInDegree 17175 1
countInDegree 11061 1
countInDegree 23958 9
countInDegree 28587 1
countInDegree 28158 28
countInDegree 14118 1
countInDegree 16173 1
countInDegree 25443 1
countInDegree 27345 1
countInDegree 22362 1
countInDegree 2490 14
countInDegree 19731 1
countInDegree 6729 1
countInDegree 18717 1
countInDegree 28218 0
