delete Node Time 
delete 15705 192
delete 16683 134
delete 17199 195
delete 20037 283
delete 25224 363
delete 8280 126
delete 8346 271
delete 18486 210
delete 2970 138
delete 5418 137
delete 24084 128
delete 16014 126
delete 16560 141
delete 18831 157
delete 2313 266
delete 23586 149
delete 8598 126
delete 16461 117
delete 27315 154
delete 12450 175
delete 17034 116
delete 7776 165
delete 19737 117
delete 9300 115
delete 24465 116
delete 7464 114
delete 8085 265
delete 27921 117
delete 5085 116
delete 5043 177
delete 20916 129
delete 4785 124
delete 24033 117
delete 6963 137
delete 7602 118
delete 6399 137
delete 4239 188
delete 17748 143
delete 7002 141
delete 11907 113
delete 10329 119
delete 318 124
delete 21090 154
delete 18558 141
delete 9609 153
delete 18816 113
delete 23550 247
delete 23793 116
delete 28200 107
delete 4362 113
delete 1782 153
delete 10251 178
delete 4314 113
delete 28284 250
delete 4908 116
delete 28020 167
delete 18474 142
delete 10278 136
delete 2514 182
delete 1902 111
delete 20631 121
delete 29694 221
delete 6627 123
delete 29382 118
delete 27264 134
delete 21708 97
delete 2019 121
delete 5622 167
delete 23214 211
delete 24138 143
delete 18987 110
delete 2082 121
delete 1551 134
delete 23706 155
delete 22329 132
delete 26778 155
delete 20541 143
delete 6018 112
delete 3807 143
delete 11742 111
delete 13476 98
delete 5814 177
delete 7101 78
delete 5628 110
delete 28155 110
delete 7104 160
delete 10899 140
delete 25182 109
delete 10563 122
delete 15063 123
delete 510 154
delete 9525 121
delete 7944 145
delete 9096 119
delete 9201 101
delete 16839 156
delete 13404 141
delete 29394 124
delete 8814 155
delete 1062 130
delete 6180 112
delete 7443 236
delete 9894 219
delete 17004 119
delete 17931 155
delete 7383 124
delete 15957 129
delete 28683 125
delete 26427 128
delete 21243 224
delete 22581 120
delete 15045 113
delete 486 155
delete 5754 166
delete 8100 199
delete 24951 241
delete 9705 397
delete 19845 125
delete 5370 107
delete 13812 126
delete 20658 117
delete 9255 204
delete 12162 172
delete 27282 114
delete 2262 155
delete 26058 119
delete 1578 125
delete 16899 129
delete 26970 124
delete 27582 130
delete 18108 124
delete 27864 132
delete 20157 165
delete 4971 145
delete 15492 161
delete 10077 116
delete 2934 117
delete 28644 126
delete 22431 365
delete 16992 116
delete 17247 114
delete 27501 116
delete 18924 148
delete 26181 117
delete 12525 135
delete 5397 224
delete 3012 137
delete 12642 126
delete 5424 128
delete 20730 115
delete 20208 127
delete 12786 159
delete 25785 127
delete 23640 126
delete 8685 177
delete 19377 116
delete 8547 105
delete 29712 115
delete 8970 116
delete 12534 115
delete 11421 138
delete 1023 128
delete 22569 166
delete 22635 115
delete 19413 114
delete 13569 127
delete 8727 160
delete 21732 127
delete 4332 116
delete 12573 127
delete 10851 166
delete 16920 116
delete 9666 160
delete 19038 116
delete 17184 117
delete 21015 127
delete 18690 116
delete 19731 116
delete 16956 156
delete 22911 115
delete 17532 127
delete 28677 116
delete 17787 249
delete 22977 142
delete 26196 173
delete 22992 155
delete 20088 115
delete 5931 116
delete 20274 114
delete 8505 260
delete 21594 115
delete 24585 118
delete 20247 209
delete 7182 126
delete 29940 128
delete 21486 116
delete 16965 117
delete 7467 202
delete 7848 106
delete 10986 126
delete 14121 156
delete 15339 140
delete 24912 146
delete 25689 139
delete 7830 137
delete 29952 206
delete 23658 114
delete 18954 177
delete 4737 130
delete 25197 113
delete 10821 173
delete 3684 143
delete 4056 111
delete 17370 125
delete 6477 119
delete 19209 165
delete 11595 113
delete 8610 218
delete 12834 124
delete 18024 118
delete 17547 147
delete 3900 162
delete 6984 166
delete 19617 135
delete 27354 129
delete 29001 113
delete 18327 129
delete 26367 112
delete 3483 120
delete 627 148
delete 23211 152
delete 8316 119
delete 2253 124
delete 3378 119
delete 21714 289
delete 29265 214
delete 21372 205
delete 17580 125
delete 14679 164
delete 9225 220
delete 27186 113
delete 24462 130
delete 21504 136
delete 23277 165
delete 20361 120
delete 15945 154
delete 10581 112
delete 3786 119
delete 15672 124
delete 20724 120
delete 6783 112
delete 8718 300
delete 1848 152
delete 14217 124
delete 11970 131
delete 26823 111
delete 2367 142
delete 26721 244
delete 21573 156
delete 18825 120
delete 1434 145
delete 24993 119
delete 25014 112
delete 750 131
delete 28860 111
delete 20562 120
delete 207 101
delete 17826 154
delete 14814 399
delete 8655 708
delete 3402 665
delete 12867 122
delete 15246 178
delete 13359 132
delete 20253 112
delete 11850 220
delete 5415 156
delete 11058 121
delete 7488 123
delete 27267 225
delete 22461 163
delete 1035 88
delete 28029 243
delete 2553 122
delete 20349 119
delete 1152 112
delete 20709 120
delete 1590 166
delete 19416 110
delete 13908 110
delete 13458 111
delete 29460 99
delete 5748 180
delete 14916 164
delete 26763 110
delete 18522 134
delete 16623 110
delete 12780 112
delete 26082 98
delete 357 111
delete 11391 99
delete 27714 99
delete 11307 98
delete 18666 111
delete 17082 209
delete 957 194
delete 24306 207
delete 20820 142
delete 18570 111
delete 14928 122
delete 7575 78
delete 18456 155
delete 10089 76
delete 29205 166
delete 14436 156
delete 23226 100
delete 8052 100
delete 19422 198
delete 13146 89
delete 9777 142
delete 6672 99
delete 5715 100
delete 23637 99
delete 23349 99
delete 9108 122
delete 23730 154
delete 29805 211
delete 13122 154
delete 9717 100
delete 26067 100
delete 6231 309
delete 28824 252
delete 1320 367
delete 22989 132
delete 3573 177
delete 19704 566
delete 23286 1596
delete 29160 232
delete 7059 222
delete 26145 132
delete 10638 133
delete 174 211
delete 28896 133
delete 3534 187
delete 11628 166
delete 23007 155
delete 24999 132
delete 17322 122
delete 28719 265
delete 5283 143
delete 3516 212
delete 24885 141
delete 15150 145
delete 585 198
delete 288 246
delete 7887 164
delete 9561 145
delete 369 155
delete 12567 132
delete 25107 168
delete 19083 232
delete 27990 287
delete 18678 332
delete 7608 212
delete 7299 277
delete 4998 236
delete 5400 508
delete 17910 427
delete 15483 245
delete 1662 265
delete 7482 278
delete 15201 296
delete 24102 204
delete 15735 155
delete 10236 188
delete 5355 207
delete 23808 211
delete 8307 189
delete 24273 210
delete 19470 518
delete 6495 324
delete 1353 256
delete 23436 220
delete 5217 206
delete 3780 321
delete 2418 303
delete 19173 218
delete 9072 248
delete 120 199
delete 16713 144
delete 15675 205
delete 15717 221
delete 945 210
delete 11541 193
delete 18405 132
delete 19863 221
delete 19302 129
delete 13665 154
delete 21411 188
delete 20814 210
delete 10644 182
delete 23427 200
delete 10722 177
delete 4872 140
delete 28290 165
delete 22398 155
delete 27909 144
delete 5427 178
delete 2460 247
delete 21804 156
delete 609 128
delete 18930 299
delete 6039 176
delete 19251 192
delete 27405 165
delete 7476 210
delete 22236 177
delete 12537 365
delete 6645 172
delete 26736 204
delete 26106 154
delete 12777 144
delete 6402 194
delete 18801 222
delete 18447 192
delete 13872 161
delete 5778 222
delete 28227 214
delete 11775 339
delete 1980 194
delete 5580 188
delete 14508 166
delete 10881 282
delete 22863 405
delete 4860 209
delete 19050 182
delete 27105 181
delete 27726 183
delete 17832 232
delete 25692 271
delete 9282 231
delete 17457 151
delete 12927 204
delete 19176 232
delete 19269 143
delete 19941 178
delete 15507 277
delete 22980 199
delete 16029 161
delete 7692 332
delete 10203 200
delete 3636 211
delete 4407 226
delete 15081 177
delete 10155 204
delete 10344 145
delete 10635 176
delete 11235 111
delete 26709 188
delete 10347 149
delete 12555 261
delete 5940 143
delete 20415 277
delete 22758 199
delete 14949 195
delete 8832 137
delete 8394 233
delete 22617 265
delete 10827 232
delete 531 176
delete 5964 178
delete 7437 243
delete 29178 177
delete 27117 288
delete 14001 173
delete 3072 158
delete 768 273
delete 20661 192
delete 24582 128
delete 10839 336
delete 5148 199
delete 17430 275
delete 21891 162
delete 4977 348
delete 2214 200
delete 16671 263
delete 24768 203
delete 27846 166
delete 20103 128
delete 22953 233
delete 10365 170
delete 7341 196
delete 23262 133
delete 16986 158
delete 8886 144
delete 5799 173
delete 24954 192
delete 2070 295
delete 25104 191
delete 10230 177
delete 27585 221
delete 7494 210
delete 27939 131
delete 19581 152
delete 20682 113
delete 9681 152
delete 21492 214
delete 22293 210
delete 13119 201
delete 7254 240
delete 16731 224
delete 11319 177
delete 12078 210
delete 7518 221
delete 17472 252
delete 2502 158
delete 29610 177
delete 25254 232
delete 3882 195
delete 28569 247
delete 1557 173
delete 27240 224
delete 3579 185
delete 25221 212
delete 8028 199
delete 22731 241
delete 1683 146
delete 6435 243
delete 25149 199
delete 16812 199
delete 10557 199
delete 21474 143
delete 10698 179
delete 28692 208
delete 25959 145
delete 13176 132
delete 8175 235
delete 22212 130
delete 3555 155
delete 24579 145
delete 7281 155
delete 21567 200
delete 3429 234
delete 9636 441
delete 23061 134
delete 6438 188
delete 12657 132
delete 12420 321
delete 1224 145
delete 25575 176
delete 25488 198
delete 15402 165
delete 13614 166
delete 21405 145
delete 15546 198
delete 2088 156
delete 19491 177
delete 23901 187
delete 2199 306
delete 9969 304
delete 11259 223
delete 20583 210
delete 5181 210
delete 28641 367
delete 5952 155
delete 23832 225
delete 8574 151
delete 2187 155
delete 4149 199
delete 10356 310
delete 23112 199
delete 9051 166
delete 19614 155
delete 414 199
delete 1437 277
delete 26247 233
delete 28848 166
delete 9519 110
delete 12018 165
delete 8646 212
delete 16782 188
delete 19656 146
delete 26052 109
delete 8568 97
delete 15468 178
delete 591 175
delete 26874 211
delete 19767 198
delete 27966 143
delete 16881 112
delete 20409 122
delete 18381 132
delete 12984 177
delete 4245 245
delete 20019 142
delete 22482 101
delete 19821 158
delete 14496 118
delete 29280 100
delete 20553 110
delete 25314 99
delete 6873 244
delete 3249 221
delete 23871 177
delete 29088 121
delete 972 99
delete 15456 99
delete 19959 100
delete 4005 99
delete 29619 189
delete 8874 143
delete 22050 210
delete 29439 145
delete 14247 110
delete 29229 100
delete 16011 98
delete 20742 111
delete 15528 121
delete 22590 132
delete 20364 99
delete 5829 99
delete 3099 123
delete 28722 200
delete 1458 125
delete 3129 159
delete 4353 166
delete 16680 122
delete 5115 242
delete 6150 257
delete 21303 131
delete 19044 132
delete 1179 121
delete 21609 112
delete 9015 120
delete 15687 113
delete 9438 120
delete 771 123
delete 15024 164
delete 9216 156
delete 28587 133
delete 23544 110
delete 17469 188
delete 17205 121
delete 29415 123
delete 27891 132
delete 9642 134
delete 7881 119
delete 20463 179
delete 17352 120
delete 26037 112
delete 16272 165
delete 13332 177
delete 18033 211
delete 9585 165
delete 5409 319
delete 15303 147
delete 39 77
delete 7623 121
delete 21762 156
delete 24204 164
delete 10206 111
delete 2451 187
delete 24381 245
delete 5523 253
delete 18705 142
delete 6747 145
delete 8565 176
delete 19287 101
delete 28863 154
delete 6528 120
delete 15618 133
delete 13896 119
delete 2433 124
delete 23091 118
delete 16776 113
delete 9690 120
delete 4479 177
delete 12696 161
delete 6168 160
delete 8439 146
delete 10680 130
delete 234 112
delete 18321 120
delete 24855 102
delete 8910 208
delete 17790 113
delete 2586 129
delete 3720 116
delete 16026 116
delete 20949 115
delete 11949 127
delete 11355 115
delete 25851 155
delete 11643 127
delete 17196 117
delete 17499 243
delete 10437 387
delete 4983 271
delete 4020 166
delete 28161 161
delete 29097 354
delete 1050 323
delete 28530 252
delete 4425 181
delete 11646 94
delete 29868 116
delete 25353 405
delete 4242 149
delete 6978 117
delete 6237 115
delete 22734 93
delete 12276 116
delete 20772 156
delete 5097 116
delete 5475 115
delete 23520 178
delete 16455 137
delete 5637 126
delete 29118 116
delete 26829 126
delete 18606 116
delete 9021 117
delete 29577 116
delete 3693 166
delete 2901 116
delete 2634 115
delete 11220 172
delete 27876 115
delete 13179 128
delete 13482 115
delete 28494 117
delete 2448 154
delete 588 182
delete 8613 116
delete 28842 116
delete 20376 116
delete 20133 116
delete 27489 200
delete 22068 154
delete 29148 117
delete 11658 126
delete 23064 117
delete 6756 116
delete 5376 116
delete 22725 115
delete 4800 117
delete 10674 149
delete 921 167
delete 12771 116
delete 21249 116
delete 927 105
delete 19815 115
delete 5922 239
delete 29526 116
delete 5835 154
delete 14763 106
delete 25362 117
delete 8181 115
delete 5520 115
delete 8115 116
delete 29343 266
delete 3705 258
delete 22962 188
delete 26844 117
delete 29313 132
delete 14856 104
delete 12930 288
delete 28041 199
delete 19830 119
delete 12216 125
delete 4263 117
delete 11448 126
delete 8922 129
delete 7584 216
delete 12033 120
delete 18441 195
delete 29541 114
delete 17295 118
delete 13737 114
delete 25350 130
delete 21459 124
delete 12363 322
delete 15366 188
delete 28548 140
delete 6279 127
delete 19908 118
delete 17667 113
delete 25686 173
delete 2352 382
delete 16125 151
delete 7110 126
delete 19032 118
delete 12939 115
delete 18339 118
delete 3330 125
delete 16950 240
delete 21102 200
delete 16335 113
delete 7026 141
delete 9963 112
delete 28149 129
delete 27972 113
delete 14346 119
delete 5232 114
delete 1746 155
delete 27870 118
delete 15633 114
delete 23535 143
delete 5478 141
delete 17751 113
delete 23181 120
delete 3837 224
delete 14820 257
delete 4446 119
delete 10566 140
delete 24930 124
delete 26856 119
delete 4233 115
delete 20607 118
delete 25683 321
delete 25713 113
delete 16188 119
delete 12705 155
delete 12429 224
delete 11895 120
delete 22773 114
delete 29949 187
delete 18768 131
delete 14334 113
delete 15948 118
delete 5961 123
delete 23010 265
delete 27567 157
delete 8979 155
delete 19728 119
delete 9981 134
delete 29334 120
delete 14013 112
delete 27531 120
delete 3822 112
delete 2817 242
delete 5088 154
delete 29454 124
delete 27285 121
delete 2748 101
delete 1020 131
delete 16260 122
delete 25461 120
delete 16407 244
delete 14190 123
delete 10632 120
delete 2430 123
delete 14823 131
delete 18258 99
delete 2820 111
delete 14481 119
delete 19866 246
delete 1956 143
delete 25200 233
delete 12600 190
delete 21210 109
delete 16521 122
delete 468 112
delete 17217 155
delete 8559 109
delete 17343 112
delete 22833 131
delete 1359 111
delete 18201 155
delete 17466 123
delete 6684 120
delete 9087 155
delete 23979 111
delete 27762 146
delete 12546 250
delete 21426 266
delete 15237 228
delete 7833 171
delete 2880 120
delete 11712 110
delete 20910 99
delete 10182 122
delete 25401 111
delete 11373 100
delete 27045 109
delete 23967 89
delete 12975 134
delete 6774 87
delete 6825 166
delete 14622 131
delete 27855 110
delete 8397 111
delete 9750 99
delete 3090 99
delete 13548 111
delete 9534 132
delete 3510 121
delete 17937 121
delete 26379 123
delete 13065 110
delete 3873 121
delete 8055 199
delete 26166 99
delete 15351 132
delete 10740 89
delete 1344 121
delete 22602 111
delete 23838 99
delete 15405 189
delete 5298 111
delete 16197 123
delete 21801 207
delete 651 111
delete 17976 99
delete 3171 155
delete 22443 110
delete 8529 122
delete 7659 109
delete 7674 111
delete 3936 98
delete 12177 132
delete 28578 164
delete 28767 170
delete 5304 119
delete 11808 121
delete 23385 111
delete 1032 120
