insert Node PortIn PortOut Time
insert 41991 41991_IN 41991_OUT 348
insert 46989 46989_IN 46989_OUT 120
insert 47901 47901_IN 47901_OUT 112
insert 33804 33804_IN 33804_OUT 136
insert 42429 42429_IN 42429_OUT 100
insert 59820 59820_IN 59820_OUT 152
insert 37020 37020_IN 37020_OUT 100
insert 46857 46857_IN 46857_OUT 128
insert 30495 30495_IN 30495_OUT 104
insert 57942 57942_IN 57942_OUT 97
insert 57918 57918_IN 57918_OUT 112
insert 48024 48024_IN 48024_OUT 96
insert 49029 49029_IN 49029_OUT 112
insert 57900 57900_IN 57900_OUT 176
insert 31332 31332_IN 31332_OUT 112
insert 53367 53367_IN 53367_OUT 96
insert 36204 36204_IN 36204_OUT 104
insert 58482 58482_IN 58482_OUT 108
insert 47073 47073_IN 47073_OUT 116
insert 37221 37221_IN 37221_OUT 116
insert 48906 48906_IN 48906_OUT 116
insert 38499 38499_IN 38499_OUT 128
insert 49845 49845_IN 49845_OUT 236
insert 43344 43344_IN 43344_OUT 108
insert 45606 45606_IN 45606_OUT 148
insert 44358 44358_IN 44358_OUT 120
insert 52968 52968_IN 52968_OUT 116
insert 31344 31344_IN 31344_OUT 104
insert 38895 38895_IN 38895_OUT 128
insert 45423 45423_IN 45423_OUT 204
insert 49371 49371_IN 49371_OUT 112
insert 35922 35922_IN 35922_OUT 120
insert 42798 42798_IN 42798_OUT 112
insert 47145 47145_IN 47145_OUT 116
insert 59196 59196_IN 59196_OUT 232
insert 39000 39000_IN 39000_OUT 104
insert 51795 51795_IN 51795_OUT 172
insert 53055 53055_IN 53055_OUT 128
insert 43176 43176_IN 43176_OUT 152
insert 37503 37503_IN 37503_OUT 136
insert 54795 54795_IN 54795_OUT 120
insert 32844 32844_IN 32844_OUT 112
insert 48114 48114_IN 48114_OUT 104
insert 37689 37689_IN 37689_OUT 232
insert 54978 54978_IN 54978_OUT 228
insert 56397 56397_IN 56397_OUT 116
insert 35988 35988_IN 35988_OUT 116
insert 33441 33441_IN 33441_OUT 120
insert 30234 30234_IN 30234_OUT 132
insert 50568 50568_IN 50568_OUT 116
insert 38088 38088_IN 38088_OUT 164
insert 43239 43239_IN 43239_OUT 144
insert 47703 47703_IN 47703_OUT 176
insert 47985 47985_IN 47985_OUT 160
insert 56349 56349_IN 56349_OUT 272
insert 58992 58992_IN 58992_OUT 116
insert 33624 33624_IN 33624_OUT 144
insert 56436 56436_IN 56436_OUT 116
insert 40530 40530_IN 40530_OUT 164
insert 47694 47694_IN 47694_OUT 176
insert 30426 30426_IN 30426_OUT 128
insert 50484 50484_IN 50484_OUT 113
insert 45060 45060_IN 45060_OUT 108
insert 36603 36603_IN 36603_OUT 116
insert 57585 57585_IN 57585_OUT 196
insert 57000 57000_IN 57000_OUT 112
insert 41169 41169_IN 41169_OUT 116
