Primitive	1stvalue	Average	StandardDeviation	99Percentile	1Percentile	95Percentile	5Percentile
countInDegree	9713,00	653,96	91,92	1026,05	585,99	827,25	590,00
countOutDegree	6484,00	332,98	47,39	528,02	294,00	428,00	298,00
insert	5246,00	4,77	5,77	30,09	1,00	15,00	2,00
countNeighbors	4295,00	6,54	5,76	29,04	3,00	14,10	3,00
doesRouteExist	5340,00	35,24	28,54	166,43	25,00	54,00	25,95
computeSSSP	3935,00	3,49	3,08	15,03	1,00	8,00	2,00
computeKSSSP	4660,00	24,55	39,09	312,09	5,00	39,00	8,00
setEdgeWeight	308,00	165,58	13,67	207,00	157,00	180,05	158,00
getEdgeWeight	32,00	2,84	2,23	8,00	0,00	4,00	0,00
computeMST	3934,00	3,94	3,04	17,02	1,00	8,00	1,00
delete	9545,00	1026,72	134,35	1494,20	892,99	1291,15	906,00
computeAPSP	4328,00	3,01	2,14	11,00	1,00	7,00	1,00
