Primitiva	1º Valor	Média	Desvio Padrão	99 Percentil	1 Percentil
countInDegree	1.251,00	34,79	35,34	156,18	10,00
countOutDegree	1.124,00	28,50	21,42	98,28	10,00
insert	1.015,00	9,70	3,10	20,03	6,00
countNeighbors	934,00	18,81	8,33	45,10	9,00
doesRouteExist	978,00	17,09	6,82	38,01	7,99
computeSSSP	854,00	8,47	2,37	16,05	6,00
computeKSSSP	913,00	15,35	4,63	30,02	9,00
setEdgeWeight	67,00	11,73	8,90	36,66	6,00
getEdgeWeight	29,00	8,85	4,57	28,26	5,00
computeMST	842,00	7,70	2,35	14,08	5,00
delete	1.232,00	28,68	37,23	185,03	10,00
computeAPSP	808,00	5,48	1,96	13,01	4,00
