Primitive	1st Value	Average	Standart Deviation	99 Percentile	1 Percentile	95 Percentile	5 Percentile
countInDegree	2723,00	8,51	6,49	38,01	3,00	19,00	4,00
countOutDegree	22,00	4,73	2,54	17,00	2,00	7,00	3,00
insert	222,00	4,59	25,37	20,00	1,99	8,00	2,00
countNeighbors	29,00	4,91	3,31	19,00	2,00	7,00	2,00
computeAPSP	46,00	1,22	1,21	6,00	0,00	2,00	1,00
computeMST	2,00	1,90	2,45	8,03	1,00	3,00	1,00
computeSSSP	5,00	1,35	2,56	4,01	0,00	2,00	0,00
computeKSSSP	77,00	1,70	0,82	4,00	1,00	3,00	1,00
setEdgeWeight	108,00	8,44	5,02	27,02	4,00	16,00	5,00
getEdgeWeight	3,00	1,71	0,86	4,00	1,00	3,00	1,00
doesRouteExist	24,00	5,47	6,18	12,01	3,00	8,00	3,00
delete	80,00	9,66	6,47	31,13	6,00	14,00	6,00
