
countInDegree Node Time
countInDegree 18 2183
countInDegree 18 127
countInDegree 18 89
countInDegree 6 109
countInDegree 0 117
countInDegree 12 105
countInDegree 24 86
countInDegree 15 78
countInDegree 12 63
countInDegree 15 71
countInDegree 24 66
countInDegree 21 51
countInDegree 15 46
countInDegree 9 46
countInDegree 6 51
countInDegree 18 36
countInDegree 3 51
countInDegree 9 58
countInDegree 0 43
countInDegree 0 41
countInDegree 3 83
countInDegree 21 53
countInDegree 3 52
countInDegree 3 49
countInDegree 12 47
countInDegree 0 45
countInDegree 27 44
countInDegree 3 42
countInDegree 6 47
countInDegree 24 50
countInDegree 6 65
countInDegree 9 49
countInDegree 0 49
countInDegree 15 41
countInDegree 9 37
countInDegree 3 35
countInDegree 12 37
countInDegree 24 37
countInDegree 12 36
countInDegree 15 35
countInDegree 9 35
countInDegree 6 35
countInDegree 15 40
countInDegree 21 34
countInDegree 27 30
countInDegree 27 31
countInDegree 0 37
countInDegree 27 43
countInDegree 9 29
countInDegree 12 31
countInDegree 15 25
countInDegree 27 29
countInDegree 27 28
countInDegree 12 31
countInDegree 21 25
countInDegree 27 22
countInDegree 24 29
countInDegree 12 24
countInDegree 3 19
countInDegree 3 22
countInDegree 3 22
countInDegree 24 22
countInDegree 0 24
countInDegree 6 28
countInDegree 21 23
countInDegree 21 28
countInDegree 12 22
countInDegree 12 22
countInDegree 15 31
countInDegree 12 34
countInDegree 0 26
countInDegree 0 29
countInDegree 21 22
countInDegree 21 18
countInDegree 9 25
countInDegree 24 21
countInDegree 24 21
countInDegree 12 21
countInDegree 27 26
countInDegree 6 31
countInDegree 27 24
countInDegree 3 22
countInDegree 0 28
countInDegree 18 31
countInDegree 15 33
countInDegree 18 32
countInDegree 12 25
countInDegree 18 30
countInDegree 21 33
countInDegree 0 40
countInDegree 15 17
countInDegree 12 16
countInDegree 21 18
countInDegree 18 18
countInDegree 21 21
countInDegree 0 20
countInDegree 0 23
countInDegree 6 15
countInDegree 21 19
countInDegree 6 21
countInDegree 18 20
countInDegree 18 25
countInDegree 21 20
countInDegree 15 17
countInDegree 9 15
countInDegree 12 21
countInDegree 18 20
countInDegree 15 16
countInDegree 3 23
countInDegree 27 21
countInDegree 12 17
countInDegree 24 23
countInDegree 18 16
countInDegree 21 20
countInDegree 18 22
countInDegree 12 20
countInDegree 18 51
countInDegree 24 39
countInDegree 15 25
countInDegree 15 23
countInDegree 12 15
countInDegree 3 16
countInDegree 6 17
countInDegree 9 31
countInDegree 3 13
countInDegree 6 15
countInDegree 6 15
countInDegree 6 31
countInDegree 0 26
countInDegree 3 19
countInDegree 15 20
countInDegree 3 26
countInDegree 18 23
countInDegree 18 20
countInDegree 3 33
countInDegree 15 27
countInDegree 15 25
countInDegree 6 19
countInDegree 9 29
countInDegree 12 20
countInDegree 15 21
countInDegree 27 28
countInDegree 9 37
countInDegree 0 44
countInDegree 15 40
countInDegree 6 35
countInDegree 21 32
countInDegree 6 27
countInDegree 15 29
countInDegree 21 21
countInDegree 21 15
countInDegree 21 21
countInDegree 24 16
countInDegree 15 16
countInDegree 6 12
countInDegree 12 16
countInDegree 12 11
countInDegree 9 17
countInDegree 6 15
countInDegree 0 28
countInDegree 3 23
countInDegree 18 12
countInDegree 18 22
countInDegree 18 14
countInDegree 21 13
countInDegree 15 15
countInDegree 21 14
countInDegree 15 15
countInDegree 6 18
countInDegree 6 16
countInDegree 27 15
countInDegree 24 15
countInDegree 21 18
countInDegree 0 15
countInDegree 24 16
countInDegree 3 18
countInDegree 27 12
countInDegree 3 18
countInDegree 0 15
countInDegree 15 17
countInDegree 3 18
countInDegree 6 22
countInDegree 12 15
countInDegree 0 39
countInDegree 9 36
countInDegree 0 35
countInDegree 24 22
countInDegree 21 21
countInDegree 6 19
countInDegree 0 41
countInDegree 15 18
countInDegree 9 20
countInDegree 18 19
countInDegree 3 22
countInDegree 24 18
countInDegree 0 19
countInDegree 0 23
countInDegree 12 21
countInDegree 3 19
countInDegree 3 24
countInDegree 12 25
countInDegree 21 21
countInDegree 24 14
countInDegree 3 17
countInDegree 0 30
countInDegree 18 29
countInDegree 27 26
countInDegree 15 30
countInDegree 27 32
countInDegree 9 26
countInDegree 6 23
countInDegree 15 21
countInDegree 6 40
countInDegree 6 33
countInDegree 9 36
countInDegree 12 23
countInDegree 0 21
countInDegree 0 17
countInDegree 3 26
countInDegree 6 22
countInDegree 0 20
countInDegree 6 21
countInDegree 6 19
countInDegree 6 19
countInDegree 24 22
countInDegree 3 26
countInDegree 24 22
countInDegree 18 18
countInDegree 12 22
countInDegree 18 17
countInDegree 21 20
countInDegree 18 14
countInDegree 15 20
countInDegree 12 15
countInDegree 15 22
countInDegree 27 30
countInDegree 27 33
countInDegree 21 27
countInDegree 24 27
countInDegree 21 32
countInDegree 9 27
countInDegree 3 35
countInDegree 18 22
countInDegree 9 18
countInDegree 3 23
countInDegree 0 17
countInDegree 24 18
countInDegree 0 16
countInDegree 24 9
countInDegree 0 10
countInDegree 3 11
countInDegree 12 10
countInDegree 27 14
countInDegree 0 12
countInDegree 6 17
countInDegree 27 33
countInDegree 9 18
countInDegree 15 13
countInDegree 0 12
countInDegree 9 10
countInDegree 3 11
countInDegree 12 9
countInDegree 9 15
countInDegree 12 11
countInDegree 12 10
countInDegree 3 11
countInDegree 3 14
countInDegree 18 14
countInDegree 18 18
countInDegree 0 17
countInDegree 0 17
countInDegree 6 18
countInDegree 0 17
countInDegree 9 17
countInDegree 21 18
countInDegree 12 16
countInDegree 15 17
countInDegree 6 18
countInDegree 15 18
countInDegree 18 25
countInDegree 6 17
countInDegree 3 16
countInDegree 3 17
countInDegree 12 16
countInDegree 3 15
countInDegree 18 15
countInDegree 0 16
countInDegree 3 19
countInDegree 18 27
countInDegree 6 18
countInDegree 6 15
countInDegree 15 12
countInDegree 6 15
countInDegree 12 14
countInDegree 18 15
countInDegree 12 16
countInDegree 18 17
countInDegree 27 17
countInDegree 24 14
countInDegree 18 15
countInDegree 9 21
countInDegree 6 14
countInDegree 21 18
countInDegree 3 20
countInDegree 15 16
countInDegree 24 12
countInDegree 21 14
countInDegree 24 18
countInDegree 9 16
countInDegree 12 19
countInDegree 18 10
countInDegree 12 16
countInDegree 9 25
countInDegree 9 12
countInDegree 24 16
countInDegree 27 13
countInDegree 9 16
countInDegree 21 11
countInDegree 3 12
countInDegree 27 20
countInDegree 27 13
countInDegree 3 10
countInDegree 18 9
countInDegree 27 11
countInDegree 12 16
countInDegree 3 12
countInDegree 9 16
countInDegree 18 12
countInDegree 0 14
countInDegree 9 15
countInDegree 27 13
countInDegree 27 9
countInDegree 18 13
countInDegree 9 15
countInDegree 9 9
countInDegree 24 14
countInDegree 0 15
countInDegree 9 13
countInDegree 9 15
countInDegree 9 10
countInDegree 9 12
countInDegree 3 14
countInDegree 3 12
countInDegree 27 15
countInDegree 3 16
countInDegree 21 18
countInDegree 27 15
countInDegree 24 15
countInDegree 24 13
countInDegree 0 41
countInDegree 21 18
countInDegree 21 18
countInDegree 18 18
countInDegree 0 18
countInDegree 12 19
countInDegree 24 15
countInDegree 6 13
countInDegree 6 12
countInDegree 9 13
countInDegree 6 15
countInDegree 9 13
countInDegree 27 19
countInDegree 6 19
countInDegree 18 27
countInDegree 0 22
countInDegree 6 18
countInDegree 21 20
countInDegree 6 27
countInDegree 6 49
countInDegree 15 32
countInDegree 18 16
countInDegree 9 17
countInDegree 24 10
countInDegree 3 12
countInDegree 0 12
countInDegree 15 16
countInDegree 15 15
countInDegree 18 16
countInDegree 9 20
countInDegree 21 19
countInDegree 9 18
countInDegree 9 17
countInDegree 12 10
countInDegree 18 19
countInDegree 15 14
countInDegree 12 16
countInDegree 18 10
countInDegree 0 11
countInDegree 21 10
countInDegree 6 14
countInDegree 3 13
countInDegree 18 13
countInDegree 3 14
countInDegree 12 10
countInDegree 27 9
countInDegree 0 14
countInDegree 27 9
countInDegree 0 9
countInDegree 15 12
countInDegree 12 14
countInDegree 24 10
countInDegree 27 12
countInDegree 21 12
countInDegree 24 9
countInDegree 9 9
countInDegree 24 10
countInDegree 12 14
countInDegree 12 10
countInDegree 0 13
countInDegree 27 14
countInDegree 12 14
countInDegree 9 15
countInDegree 9 14
countInDegree 21 15
countInDegree 15 12
countInDegree 0 9
countInDegree 0 9
countInDegree 12 9
countInDegree 27 14
countInDegree 6 13
countInDegree 27 11
countInDegree 12 13
countInDegree 9 11
countInDegree 21 13
countInDegree 3 12
countInDegree 24 12
countInDegree 6 16
countInDegree 9 16
countInDegree 0 18
