countInDegree Node Time
countInDegree 29964 9713
countInDegree 14109 754
countInDegree 2394 746
countInDegree 25149 658
countInDegree 13797 742
countInDegree 7260 670
countInDegree 8469 699
countInDegree 10788 662
countInDegree 15576 724
countInDegree 24867 653
countInDegree 20451 688
countInDegree 11214 642
countInDegree 1956 643
countInDegree 23220 651
countInDegree 12747 687
countInDegree 147 658
countInDegree 26724 643
countInDegree 2595 668
countInDegree 27174 727
countInDegree 25863 644
countInDegree 28035 678
countInDegree 1377 702
countInDegree 15207 610
countInDegree 7713 644
countInDegree 22914 729
countInDegree 16389 901
countInDegree 4029 772
countInDegree 19563 1014
countInDegree 26670 641
countInDegree 13317 647
countInDegree 17562 637
countInDegree 29694 629
countInDegree 16449 625
countInDegree 567 619
countInDegree 5244 633
countInDegree 9120 634
countInDegree 16446 621
countInDegree 6561 637
countInDegree 15582 600
countInDegree 28560 627
countInDegree 16023 619
countInDegree 17019 703
countInDegree 27018 701
countInDegree 9315 655
countInDegree 29640 634
countInDegree 17949 722
countInDegree 18135 664
countInDegree 6372 624
countInDegree 10233 616
countInDegree 879 620
countInDegree 25320 615
countInDegree 9255 710
countInDegree 25557 650
countInDegree 27342 788
countInDegree 15657 832
countInDegree 28893 726
countInDegree 5376 616
countInDegree 8718 702
countInDegree 29379 608
countInDegree 12 735
countInDegree 6465 976
countInDegree 8034 790
countInDegree 9387 620
countInDegree 15873 613
countInDegree 11595 615
countInDegree 1536 622
countInDegree 22860 654
countInDegree 5781 652
countInDegree 23022 626
countInDegree 2049 595
countInDegree 18465 613
countInDegree 5130 621
countInDegree 19113 617
countInDegree 29562 612
countInDegree 6663 628
countInDegree 27237 598
countInDegree 28488 612
countInDegree 1878 608
countInDegree 4581 608
countInDegree 3102 614
countInDegree 14019 607
countInDegree 3357 623
countInDegree 18939 608
countInDegree 1548 628
countInDegree 24939 626
countInDegree 26070 628
countInDegree 1989 648
countInDegree 16944 644
countInDegree 7134 785
countInDegree 16494 783
countInDegree 18447 622
countInDegree 21162 693
countInDegree 4899 844
countInDegree 17586 864
countInDegree 27150 661
countInDegree 2925 622
countInDegree 2688 652
countInDegree 27960 623
countInDegree 18423 622
countInDegree 29010 635
countInDegree 11394 612
countInDegree 780 614
countInDegree 1233 615
countInDegree 20808 629
countInDegree 3048 641
countInDegree 675 633
countInDegree 14058 601
countInDegree 17316 629
countInDegree 13812 635
countInDegree 9762 624
countInDegree 26178 923
countInDegree 15300 878
countInDegree 25464 699
countInDegree 4986 659
countInDegree 3372 639
countInDegree 11478 726
countInDegree 26181 725
countInDegree 21516 689
countInDegree 28731 665
countInDegree 7857 706
countInDegree 22473 622
countInDegree 11493 675
countInDegree 12897 605
countInDegree 6165 622
countInDegree 6945 652
countInDegree 16869 632
countInDegree 20592 661
countInDegree 2610 651
countInDegree 6186 769
countInDegree 17343 754
countInDegree 27219 666
countInDegree 24369 633
countInDegree 13242 600
countInDegree 14082 604
countInDegree 14472 662
countInDegree 5127 691
countInDegree 25770 603
countInDegree 19392 755
countInDegree 22611 705
countInDegree 531 620
countInDegree 12348 1059
countInDegree 14337 1445
countInDegree 3588 1534
countInDegree 27984 1031
countInDegree 11925 786
countInDegree 20838 721
countInDegree 11787 938
countInDegree 9954 1110
countInDegree 7575 1001
countInDegree 7422 1281
countInDegree 4515 1075
countInDegree 9975 858
countInDegree 29235 637
countInDegree 924 789
countInDegree 28461 774
countInDegree 18843 698
countInDegree 14043 620
countInDegree 18615 1200
countInDegree 16368 872
countInDegree 19695 696
countInDegree 8565 638
countInDegree 29373 636
countInDegree 2808 633
countInDegree 29958 1194
countInDegree 8118 1009
countInDegree 6105 833
countInDegree 27975 649
countInDegree 3852 651
countInDegree 5319 663
countInDegree 5685 903
countInDegree 15996 859
countInDegree 12288 782
countInDegree 27990 851
countInDegree 9000 663
countInDegree 3192 655
countInDegree 20010 594
countInDegree 18225 589
countInDegree 9576 597
countInDegree 18393 591
countInDegree 3861 591
countInDegree 26025 589
countInDegree 17976 593
countInDegree 22281 605
countInDegree 1557 602
countInDegree 4104 593
countInDegree 1050 593
countInDegree 24258 601
countInDegree 12612 587
countInDegree 10452 588
countInDegree 21936 601
countInDegree 27687 593
countInDegree 12300 603
countInDegree 22269 596
countInDegree 26853 637
countInDegree 16116 590
countInDegree 345 605
countInDegree 4338 591
countInDegree 26295 588
countInDegree 12504 599
countInDegree 9438 595
countInDegree 18597 600
countInDegree 18090 587
countInDegree 13221 607
countInDegree 16992 597
countInDegree 19422 591
countInDegree 3294 590
countInDegree 3417 593
countInDegree 29463 597
countInDegree 15339 586
countInDegree 23379 587
countInDegree 11157 595
